"","","","","","","","","Survey","Question 1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q9","Q10","Q11","Q12","Q13","Q14","Q14"
"04/03/2022 3:49PM","04/03/2022 3:49PM","04/03/2022 3:49PM - 04/03/2022 4:49PM",25.604,"Yes","6248e428a789330da7928808","0.0","0.0","Participant 3",,1,4,2,,,,,5,"VISUAL IMAGERY: “I was experiencing visual imagery, e.g. imagining my dog”",5,5,4,2,5,"Cognitive activity (e.g., studying, homework, attending lecture, learning something new, puzzle solving)"
"04/03/2022 5:14PM","04/03/2022 5:14PM","04/03/2022 5:09PM - 04/03/2022 6:09PM",33.349,"Yes","6248e428a789330da7928808","0.0","0.0","Participant 3",,1,7,2,,,,,4,"MUSIC/SOUNDS : “I was listening to music/podcast, e.g. with my earphones in, or imagining music/sounds”",7,6,6,5,3,"Restful activity (e.g., eating, resting, taking a nap, doing nothing, reading for fun, watching TV or videos, browsing the internet or social media) "
"04/03/2022 7:17PM","04/03/2022 7:18PM","04/03/2022 7:11PM - 04/03/2022 8:11PM",18.289,"Yes","6248e428a789330da7928808","0.0","0.0","Participant 3",,1,3,1,4,3,3,3,,,,,,,5,"Cognitive activity (e.g., studying, homework, attending lecture, learning something new, puzzle solving)"
"04/04/2022 09:45AM","04/04/2022 09:45AM","04/04/2022 09:45AM - 04/04/2022 10:45AM",15.086,"Yes","6248e428a789330da7928808","0.0","0.0","Participant 3",,1,6,1,6,5,5,5,,,,,,,3,"Restful activity (e.g., eating, resting, taking a nap, doing nothing, reading for fun, watching TV or videos, browsing the internet or social media) "
"04/04/2022 11:32AM","04/04/2022 11:32AM","04/04/2022 11:32AM - 04/04/2022 12:32PM",22.386,"Yes","6248e428a789330da7928808","0.0","0.0","Participant 3",,1,5,2,,,,,6,"ANOTHER PERSON: “I was experiencing another person, e.g. holding hands”",5,5,5,5,1,"Social activity (e.g., being with family, friends, or peers; phone calls or messages; attending a party or group outing)"
"04/04/2022 1:35PM","04/04/2022 1:35PM","04/04/2022 1:35PM - 04/04/2022 2:35PM",25.013,"Yes","6248e428a789330da7928808","0.0","0.0","Participant 3",,1,6,2,,,,,3,"ENVIRONMENT : “I was noticing the environment, e.g. looking at the trees”",5,6,1,7,3,"Restful activity (e.g., eating, resting, taking a nap, doing nothing, reading for fun, watching TV or videos, browsing the internet or social media) "
"04/04/2022 3:35PM","04/04/2022 3:35PM","04/04/2022 3:30PM - 04/04/2022 4:30PM",33.009,"Yes","6248e428a789330da7928808","0.0","0.0","Participant 3",,1,7,1,6,3,7,4,,,,,,,2,"Physical activity (e.g., exercising, sports, walking, bicycling, hiking) "
"04/04/2022 5:56PM","04/04/2022 5:56PM","04/04/2022 5:56PM - 04/04/2022 6:56PM",22.548,"Yes","6248e428a789330da7928808","0.0","0.0","Participant 3",,1,3,2,,,,,5,"VISUAL IMAGERY: “I was experiencing visual imagery, e.g. imagining my dog”",3,2,3,3,5,"Cognitive activity (e.g., studying, homework, attending lecture, learning something new, puzzle solving)"
"04/04/2022 7:51PM","04/04/2022 7:51PM","04/04/2022 7:48PM - 04/04/2022 8:48PM",17.682,"Yes","6248e428a789330da7928808","0.0","0.0","Participant 3",,1,6,1,7,4,4,4,,,,,,,4,"Household activity (e.g., preparing meals, grocery shopping, household finances, cleaning or other chores)"
"04/05/2022 09:13AM","04/05/2022 09:13AM","04/05/2022 09:06AM - 04/05/2022 10:06AM",20.117,"Yes","6248e428a789330da7928808","0.0","0.0","Participant 3",,1,4,1,4,4,4,4,,,,,,,2,"Physical activity (e.g., exercising, sports, walking, bicycling, hiking) "
"04/05/2022 11:36AM","04/05/2022 11:36AM","04/05/2022 11:36AM - 04/05/2022 12:36PM",17.723,"Yes","6248e428a789330da7928808","0.0","0.0","Participant 3",,1,4,2,,,,,5,"VISUAL IMAGERY: “I was experiencing visual imagery, e.g. imagining my dog”",4,4,4,4,5,"Cognitive activity (e.g., studying, homework, attending lecture, learning something new, puzzle solving)"
"04/05/2022 1:49PM","04/05/2022 1:49PM","04/05/2022 1:49PM - 04/05/2022 2:49PM",42.477,"Yes","6248e428a789330da7928808","0.0","0.0","Participant 3",,1,3,2,,,,,1,"BODY: “I was experiencing body sensations, e.g. hunger” ",4,4,4,4,1,"Social activity (e.g., being with family, friends, or peers; phone calls or messages; attending a party or group outing)"
"04/05/2022 3:46PM","04/05/2022 3:47PM","04/05/2022 3:28PM - 04/05/2022 4:28PM",39.098,"Yes","6248e428a789330da7928808","0.0","0.0","Participant 3",,1,7,2,,,,,4,"MUSIC/SOUNDS : “I was listening to music/podcast, e.g. with my earphones in, or imagining music/sounds”",5,5,3,4,3,"Restful activity (e.g., eating, resting, taking a nap, doing nothing, reading for fun, watching TV or videos, browsing the internet or social media) "
"04/05/2022 5:43PM","04/05/2022 5:43PM","04/05/2022 5:43PM - 04/05/2022 6:43PM",37.733,"Yes","6248e428a789330da7928808","0.0","0.0","Participant 3",,1,3,1,3,3,3,1,,,,,,,1,"Social activity (e.g., being with family, friends, or peers; phone calls or messages; attending a party or group outing)"
"04/05/2022 7:44PM","04/05/2022 7:44PM","04/05/2022 7:44PM - 04/05/2022 8:44PM",24.789,"Yes","6248e428a789330da7928808","0.0","0.0","Participant 3",,1,5,1,6,4,2,2,,,,,,,5,"Cognitive activity (e.g., studying, homework, attending lecture, learning something new, puzzle solving)"
"04/06/2022 11:13AM","04/06/2022 11:13AM","04/06/2022 11:13AM - 04/06/2022 12:13PM",30.339,"Yes","6248e428a789330da7928808","0.0","0.0","Participant 3",,1,2,1,3,3,4,4,,,,,,,1,"Social activity (e.g., being with family, friends, or peers; phone calls or messages; attending a party or group outing)"
"04/06/2022 2:02PM","04/06/2022 2:03PM","04/06/2022 1:52PM - 04/06/2022 2:52PM",22.69,"Yes","6248e428a789330da7928808","0.0","0.0","Participant 3",,1,5,2,,,,,1,"BODY: “I was experiencing body sensations, e.g. hunger” ",4,4,2,1,5,"Cognitive activity (e.g., studying, homework, attending lecture, learning something new, puzzle solving)"
"04/06/2022 3:48PM","04/06/2022 3:48PM","04/06/2022 3:40PM - 04/06/2022 4:40PM",25.55,"Yes","6248e428a789330da7928808","0.0","0.0","Participant 3",,1,4,2,,,,,4,"MUSIC/SOUNDS : “I was listening to music/podcast, e.g. with my earphones in, or imagining music/sounds”",6,5,6,5,4,"Household activity (e.g., preparing meals, grocery shopping, household finances, cleaning or other chores)"
"04/06/2022 5:35PM","04/06/2022 5:35PM","04/06/2022 5:11PM - 04/06/2022 6:11PM",13.116,"Yes","6248e428a789330da7928808","0.0","0.0","Participant 3",,1,4,2,,,,,3,"ENVIRONMENT : “I was noticing the environment, e.g. looking at the trees”",3,3,3,3,5,"Cognitive activity (e.g., studying, homework, attending lecture, learning something new, puzzle solving)"
"04/06/2022 7:17PM","04/06/2022 7:18PM","04/06/2022 7:17PM - 04/06/2022 8:17PM",56.359,"Yes","6248e428a789330da7928808","0.0","0.0","Participant 3",,1,4,2,,,,,1,"BODY: “I was experiencing body sensations, e.g. hunger” ",3,3,3,3,3,"Restful activity (e.g., eating, resting, taking a nap, doing nothing, reading for fun, watching TV or videos, browsing the internet or social media) "
"04/07/2022 09:28AM","04/07/2022 09:28AM","04/07/2022 09:28AM - 04/07/2022 10:28AM",20.084,"Yes","6248e428a789330da7928808","0.0","0.0","Participant 3",,1,5,1,4,4,1,2,,,,,,,2,"Physical activity (e.g., exercising, sports, walking, bicycling, hiking) "
"04/07/2022 11:12AM","04/07/2022 11:12AM","04/07/2022 11:12AM - 04/07/2022 12:12PM",19.929,"Yes","6248e428a789330da7928808","0.0","0.0","Participant 3",,1,4,2,,,,,4,"MUSIC/SOUNDS : “I was listening to music/podcast, e.g. with my earphones in, or imagining music/sounds”",4,6,2,4,5,"Cognitive activity (e.g., studying, homework, attending lecture, learning something new, puzzle solving)"
"04/07/2022 1:46PM","04/07/2022 1:46PM","04/07/2022 1:45PM - 04/07/2022 2:45PM",39.957,"Yes","6248e428a789330da7928808","0.0","0.0","Participant 3",,1,3,1,4,4,3,3,,,,,,,2,"Physical activity (e.g., exercising, sports, walking, bicycling, hiking) "
"04/07/2022 4:33PM","04/07/2022 4:34PM","04/07/2022 3:44PM - 04/07/2022 4:44PM",16.544,"Yes","6248e428a789330da7928808","0.0","0.0","Participant 3",,1,4,2,,,,,3,"ENVIRONMENT : “I was noticing the environment, e.g. looking at the trees”",4,4,4,4,5,"Cognitive activity (e.g., studying, homework, attending lecture, learning something new, puzzle solving)"
"04/07/2022 5:48PM","04/07/2022 5:50PM","04/07/2022 5:48PM - 04/07/2022 6:48PM",131.222,"Yes","6248e428a789330da7928808","0.0","0.0","Participant 3",,1,4,2,,,,,6,"ANOTHER PERSON: “I was experiencing another person, e.g. holding hands”",4,4,3,6,1,"Social activity (e.g., being with family, friends, or peers; phone calls or messages; attending a party or group outing)"
"04/07/2022 7:23PM","04/07/2022 7:23PM","04/07/2022 7:23PM - 04/07/2022 8:23PM",27.729,"Yes","6248e428a789330da7928808","0.0","0.0","Participant 3",,1,6,2,,,,,6,"ANOTHER PERSON: “I was experiencing another person, e.g. holding hands”",4,5,2,2,1,"Social activity (e.g., being with family, friends, or peers; phone calls or messages; attending a party or group outing)"
"04/08/2022 09:56AM","04/08/2022 09:56AM","04/08/2022 09:46AM - 04/08/2022 10:46AM",33.224,"Yes","6248e428a789330da7928808","0.0","0.0","Participant 3",,1,5,2,,,,,7,"BLANK MIND:  “I was not thinking about anything at all-- my mind was completely blank”",4,5,2,2,4,"Household activity (e.g., preparing meals, grocery shopping, household finances, cleaning or other chores)"
"04/08/2022 11:03AM","04/08/2022 11:03AM","04/08/2022 11:03AM - 04/08/2022 12:03PM",35.85,"Yes","6248e428a789330da7928808","0.0","0.0","Participant 3",,1,4,2,,,,,5,"VISUAL IMAGERY: “I was experiencing visual imagery, e.g. imagining my dog”",2,5,1,2,5,"Cognitive activity (e.g., studying, homework, attending lecture, learning something new, puzzle solving)"
"04/08/2022 2:04PM","04/08/2022 2:04PM","04/08/2022 1:51PM - 04/08/2022 2:51PM",18.498,"Yes","6248e428a789330da7928808","0.0","0.0","Participant 3",,1,3,2,,,,,5,"VISUAL IMAGERY: “I was experiencing visual imagery, e.g. imagining my dog”",3,6,3,3,5,"Cognitive activity (e.g., studying, homework, attending lecture, learning something new, puzzle solving)"
"04/08/2022 3:19PM","04/08/2022 3:19PM","04/08/2022 3:19PM - 04/08/2022 4:19PM",19.029,"Yes","6248e428a789330da7928808","0.0","0.0","Participant 3",,1,6,2,,,,,4,"MUSIC/SOUNDS : “I was listening to music/podcast, e.g. with my earphones in, or imagining music/sounds”",5,7,6,6,3,"Restful activity (e.g., eating, resting, taking a nap, doing nothing, reading for fun, watching TV or videos, browsing the internet or social media) "
"04/08/2022 5:25PM","04/08/2022 5:26PM","04/08/2022 5:25PM - 04/08/2022 6:25PM",36.868,"Yes","6248e428a789330da7928808","0.0","0.0","Participant 3",,1,4,2,,,,,3,"ENVIRONMENT : “I was noticing the environment, e.g. looking at the trees”",4,4,4,3,2,"Physical activity (e.g., exercising, sports, walking, bicycling, hiking) "
"04/08/2022 7:48PM","04/08/2022 7:48PM","04/08/2022 7:35PM - 04/08/2022 8:35PM",42.483,"Yes","6248e428a789330da7928808","0.0","0.0","Participant 3",,1,4,2,,,,,3,"ENVIRONMENT : “I was noticing the environment, e.g. looking at the trees”",4,4,4,4,1,"Social activity (e.g., being with family, friends, or peers; phone calls or messages; attending a party or group outing)"
"04/09/2022 10:42AM","04/09/2022 10:43AM","04/09/2022 09:50AM - 04/09/2022 10:50AM",14.462,"Yes","6248e428a789330da7928808","0.0","0.0","Participant 3",,1,4,2,,,,,4,"MUSIC/SOUNDS : “I was listening to music/podcast, e.g. with my earphones in, or imagining music/sounds”",4,4,4,4,2,"Physical activity (e.g., exercising, sports, walking, bicycling, hiking) "
"04/09/2022 11:45AM","04/09/2022 11:46AM","04/09/2022 11:45AM - 04/09/2022 12:45PM",63.28,"Yes","6248e428a789330da7928808","0.0","0.0","Participant 3",,1,6,2,,,,,4,"MUSIC/SOUNDS : “I was listening to music/podcast, e.g. with my earphones in, or imagining music/sounds”",4,7,4,7,5,"Cognitive activity (e.g., studying, homework, attending lecture, learning something new, puzzle solving)"
"04/09/2022 1:47PM","04/09/2022 1:47PM","04/09/2022 1:36PM - 04/09/2022 2:36PM",25.026,"Yes","6248e428a789330da7928808","0.0","0.0","Participant 3",,1,3,1,3,5,2,5,,,,,,,5,"Cognitive activity (e.g., studying, homework, attending lecture, learning something new, puzzle solving)"
"04/09/2022 3:09PM","04/09/2022 3:10PM","04/09/2022 3:05PM - 04/09/2022 4:05PM",31.744,"Yes","6248e428a789330da7928808","0.0","0.0","Participant 3",,1,5,2,,,,,3,"ENVIRONMENT : “I was noticing the environment, e.g. looking at the trees”",4,5,2,3,5,"Cognitive activity (e.g., studying, homework, attending lecture, learning something new, puzzle solving)"
"04/09/2022 5:48PM","04/09/2022 5:48PM","04/09/2022 5:44PM - 04/09/2022 6:44PM",24.875,"Yes","6248e428a789330da7928808","0.0","0.0","Participant 3",,1,4,2,,,,,1,"BODY: “I was experiencing body sensations, e.g. hunger” ",4,5,2,2,4,"Household activity (e.g., preparing meals, grocery shopping, household finances, cleaning or other chores)"
"04/09/2022 7:05PM","04/09/2022 7:06PM","04/09/2022 7:01PM - 04/09/2022 8:01PM",78.516,"Yes","6248e428a789330da7928808","0.0","0.0","Participant 3",,1,5,2,,,,,3,"ENVIRONMENT : “I was noticing the environment, e.g. looking at the trees”",4,4,4,4,1,"Social activity (e.g., being with family, friends, or peers; phone calls or messages; attending a party or group outing)"
"04/04/2022 11:52AM","04/04/2022 11:53AM","04/04/2022 11:14AM - 04/04/2022 12:14PM",44.132,"Yes","624a0d1da789330da79291b0","0.0","0.0","Participant 4",,1,7,1,7,7,7,7,,,,,,,1,"Social activity (e.g., being with family, friends, or peers; phone calls or messages; attending a party or group outing)"
"04/04/2022 3:28PM","04/04/2022 3:29PM","04/04/2022 3:13PM - 04/04/2022 4:13PM",23.024,"Yes","624a0d1da789330da79291b0","0.0","0.0","Participant 4",,1,7,1,7,7,7,7,,,,,,,1,"Social activity (e.g., being with family, friends, or peers; phone calls or messages; attending a party or group outing)"
"04/04/2022 5:56PM","04/04/2022 5:56PM","04/04/2022 5:48PM - 04/04/2022 6:48PM",31.028,"Yes","624a0d1da789330da79291b0","0.0","0.0","Participant 4",,1,7,1,7,7,7,7,,,,,,,3,"Restful activity (e.g., eating, resting, taking a nap, doing nothing, reading for fun, watching TV or videos, browsing the internet or social media) "
"04/04/2022 7:03PM","04/04/2022 7:03PM","04/04/2022 7:03PM - 04/04/2022 8:03PM",16.022,"Yes","624a0d1da789330da79291b0","0.0","0.0","Participant 4",,1,7,1,7,7,7,7,,,,,,,1,"Social activity (e.g., being with family, friends, or peers; phone calls or messages; attending a party or group outing)"
"04/05/2022 11:31AM","04/05/2022 11:31AM","04/05/2022 11:08AM - 04/05/2022 12:08PM",13.65,"Yes","624a0d1da789330da79291b0","0.0","0.0","Participant 4",,1,7,1,7,7,7,7,,,,,,,1,"Social activity (e.g., being with family, friends, or peers; phone calls or messages; attending a party or group outing)"
"04/05/2022 1:17PM","04/05/2022 1:17PM","04/05/2022 1:17PM - 04/05/2022 2:17PM",12.8,"Yes","624a0d1da789330da79291b0","0.0","0.0","Participant 4",,1,7,1,7,7,7,7,,,,,,,1,"Social activity (e.g., being with family, friends, or peers; phone calls or messages; attending a party or group outing)"
"04/05/2022 3:23PM","04/05/2022 3:23PM","04/05/2022 3:23PM - 04/05/2022 4:23PM",12.779,"Yes","624a0d1da789330da79291b0","0.0","0.0","Participant 4",,1,7,1,7,7,7,7,,,,,,,1,"Social activity (e.g., being with family, friends, or peers; phone calls or messages; attending a party or group outing)"
"04/05/2022 5:26PM","04/05/2022 5:26PM","04/05/2022 5:26PM - 04/05/2022 6:26PM",14.468,"Yes","624a0d1da789330da79291b0","0.0","0.0","Participant 4",,1,7,1,7,7,7,7,,,,,,,1,"Social activity (e.g., being with family, friends, or peers; phone calls or messages; attending a party or group outing)"
"04/05/2022 7:30PM","04/05/2022 7:30PM","04/05/2022 7:30PM - 04/05/2022 8:30PM",12.687,"Yes","624a0d1da789330da79291b0","0.0","0.0","Participant 4",,1,7,1,7,7,7,7,,,,,,,1,"Social activity (e.g., being with family, friends, or peers; phone calls or messages; attending a party or group outing)"
"04/06/2022 09:31AM","04/06/2022 09:32AM","04/06/2022 09:20AM - 04/06/2022 10:20AM",15.348,"Yes","624a0d1da789330da79291b0","0.0","0.0","Participant 4",,1,7,1,7,7,7,7,,,,,,,1,"Social activity (e.g., being with family, friends, or peers; phone calls or messages; attending a party or group outing)"
"04/06/2022 11:41AM","04/06/2022 11:41AM","04/06/2022 11:39AM - 04/06/2022 12:39PM",11.542,"Yes","624a0d1da789330da79291b0","0.0","0.0","Participant 4",,1,7,1,7,7,7,7,,,,,,,1,"Social activity (e.g., being with family, friends, or peers; phone calls or messages; attending a party or group outing)"
"04/06/2022 1:55PM","04/06/2022 1:55PM","04/06/2022 1:52PM - 04/06/2022 2:52PM",14.975,"Yes","624a0d1da789330da79291b0","0.0","0.0","Participant 4",,1,7,1,7,7,7,7,,,,,,,1,"Social activity (e.g., being with family, friends, or peers; phone calls or messages; attending a party or group outing)"
"04/06/2022 3:19PM","04/06/2022 3:19PM","04/06/2022 3:18PM - 04/06/2022 4:18PM",42.3,"Yes","624a0d1da789330da79291b0","0.0","0.0","Participant 4",,1,7,1,7,7,7,7,,,,,,,1,"Social activity (e.g., being with family, friends, or peers; phone calls or messages; attending a party or group outing)"
"04/06/2022 6:00PM","04/06/2022 6:00PM","04/06/2022 5:56PM - 04/06/2022 6:56PM",13.198,"Yes","624a0d1da789330da79291b0","0.0","0.0","Participant 4",,1,7,1,7,7,7,7,,,,,,,1,"Social activity (e.g., being with family, friends, or peers; phone calls or messages; attending a party or group outing)"
"04/06/2022 7:49PM","04/06/2022 7:49PM","04/06/2022 7:49PM - 04/06/2022 8:49PM",17.063,"Yes","624a0d1da789330da79291b0","0.0","0.0","Participant 4",,1,7,1,7,7,7,7,,,,,,,3,"Restful activity (e.g., eating, resting, taking a nap, doing nothing, reading for fun, watching TV or videos, browsing the internet or social media) "
"04/07/2022 10:30AM","04/07/2022 10:30AM","04/07/2022 09:46AM - 04/07/2022 10:46AM",12.379,"Yes","624a0d1da789330da79291b0","0.0","0.0","Participant 4",,1,7,1,7,7,7,7,,,,,,,1,"Social activity (e.g., being with family, friends, or peers; phone calls or messages; attending a party or group outing)"
"04/07/2022 11:14AM","04/07/2022 11:14AM","04/07/2022 11:03AM - 04/07/2022 12:03PM",17.333,"Yes","624a0d1da789330da79291b0","0.0","0.0","Participant 4",,1,7,1,7,7,7,7,,,,,,,3,"Restful activity (e.g., eating, resting, taking a nap, doing nothing, reading for fun, watching TV or videos, browsing the internet or social media) "
"04/07/2022 1:51PM","04/07/2022 1:51PM","04/07/2022 1:37PM - 04/07/2022 2:37PM",12.451,"Yes","624a0d1da789330da79291b0","0.0","0.0","Participant 4",,1,7,1,7,7,7,7,,,,,,,3,"Restful activity (e.g., eating, resting, taking a nap, doing nothing, reading for fun, watching TV or videos, browsing the internet or social media) "
"04/07/2022 3:11PM","04/07/2022 3:11PM","04/07/2022 3:00PM - 04/07/2022 4:00PM",15.379,"Yes","624a0d1da789330da79291b0","0.0","0.0","Participant 4",,1,7,1,7,7,7,7,,,,,,,5,"Cognitive activity (e.g., studying, homework, attending lecture, learning something new, puzzle solving)"
"04/07/2022 5:49PM","04/07/2022 5:49PM","04/07/2022 5:49PM - 04/07/2022 6:49PM",13.852,"Yes","624a0d1da789330da79291b0","0.0","0.0","Participant 4",,1,7,1,7,7,7,7,,,,,,,3,"Restful activity (e.g., eating, resting, taking a nap, doing nothing, reading for fun, watching TV or videos, browsing the internet or social media) "
"04/07/2022 7:14PM","04/07/2022 7:14PM","04/07/2022 7:14PM - 04/07/2022 8:14PM",15.78,"Yes","624a0d1da789330da79291b0","0.0","0.0","Participant 4",,1,7,1,7,7,7,7,,,,,,,5,"Cognitive activity (e.g., studying, homework, attending lecture, learning something new, puzzle solving)"
