StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,DON'T DISCUSS,pid,pid.check,personality_1,personality_2,personality_3,personality_4,personality_5,personality_6,personality_7,personality_8,personality_9,personality_10,personality_11,personality_12,personality_13,personality_14,personality_15,personality_16,personality_17,personality_18,personality_19,personality_20,personality_21,personality_22,personality_23,personality_24,personality_25,personality_26,personality_27,personality_28,personality_29,personality_30,personality_31,personality_32,personality_33,personality_34,personality_35,personality_36,personality_37,personality_38,personality_39,personality_40,personality_41,personality_42,personality_43,personality_44,personality_45,personality_46,personality_47,personality_48,personality_49,personality_50,personality_51,personality_52,personality_53,personality_54,personality_55,personality_56,personality_57,personality_58,personality_59,personality_60,personality_61,personality_62,ffmq_1,ffmq_2,ffmq_3,ffmq_4,ffmq_5,ffmq_6,ffmq_7,ffmq_8,ffmq_9,ffmq_10,ffmq_11,ffmq_12,ffmq_13,ffmq_14,ffmq_15,ffmq_16,age,gender,gender_6_TEXT,sex_at_birth,sexual_orientation_2,sexual_orientation_2_4_TEXT,ethnoracial,mixed_ethnoracial,ses_ladder,country_born,country_raised,country_reside,age_move_US,VAL1,SC1,SC2,SC3,SC4,SC5,SC6,SC7,SC8,SC9,SC10,id
2022-05-10 13:09:58,2022-05-10 13:19:47,0,76.167.210.181,100,589,1,2022-05-10 13:19:48,R_3EolhbH2mMeAoMZ,,,,,32.8595,-117.2124,anonymous,EN,1,4,A15825070,A15825070,3,1,1,2,3,1,2,3,1,3,1,3,1,2,1,1,1,1,3,3,1,1,3,1,2,1,3,0,1,3,1,1,1,2,2,3,1,1,2,3,5,1,2,1,1,1,2,2,2,3,0,3,1,3,2,2,1,1,3,1,2,3,2,2,2,2,3,3,3,3,2,3,3,2,3,2,3,1,9,1,,1,1,,2,,6,189,189,189,,1,10,8,9,12,7,34,48,29,39,29,31834
2022-05-10 16:00:59,2022-05-10 16:20:36,0,99.76.229.153,100,1176,1,2022-05-10 16:20:37,R_3QDwhksI4Eq01UN,,,,,32.8595,-117.2124,anonymous,EN,1,4,A16632020,A16632020,1,5,2,3,3,1,3,3,0,3,1,2,3,0,1,1,3,1,2,3,2,2,2,1,1,1,2,0,1,1,3,2,2,1,3,3,1,2,2,1,3,2,1,2,1,1,1,1,2,3,0,3,2,2,2,3,1,3,1,2,1,2,2,4,2,2,4,3,2,3,2,3,3,4,2,2,3,1,9,2,,2,1,,1,,6,37,37,189,13,1,11,8,10,12,12,41,43,41,45,36,37096
2022-05-10 21:42:57,2022-05-10 21:47:42,0,75.80.185.24,100,284,1,2022-05-10 21:47:42,R_2fHv1AFB2treAKx,,,,,32.9661,-117.1202,anonymous,EN,1,4,A16790705,A16790705,1,3,5,3,1,3,3,3,3,0,1,2,3,3,3,1,3,5,1,1,3,2,3,3,1,3,3,0,0,0,5,1,1,1,1,2,3,3,3,1,1,3,0,2,1,3,1,1,1,3,0,1,3,1,3,1,3,3,1,3,3,3,5,3,4,3,2,4,1,3,4,2,3,4,4,3,1,1,7,1,,1,3,,1,,7,189,189,189,,4,7,12,5,8,12,44,25,39,35,46,43682
2022-05-10 21:43:32,2022-05-10 22:06:13,0,68.252.125.149,100,1361,1,2022-05-10 22:06:15,R_OwBK0T2in2J3lAZ,,,,,32.8595,-117.2124,anonymous,EN,1,4,A15937170,A15937170,0,2,3,3,5,2,5,3,1,2,3,1,2,0,3,1,5,1,0,2,5,2,1,0,2,3,3,0,2,1,3,1,3,5,3,2,1,5,5,1,5,3,0,1,2,0,3,2,1,3,0,1,2,2,5,1,2,3,1,2,0,3,4,2,3,3,3,4,3,2,3,3,4,3,2,3,2,1,8,2,,2,1,,3,,6,189,189,189,,1,11,12,8,9,8,42,40,46,49,44,34275
2022-05-08 17:12:05,2022-05-11 01:19:30,0,128.54.224.17,100,202044,1,2022-05-11 01:19:31,R_CaeTePzR88nBOsF,,,,,32.8509,-117.2722,anonymous,EN,1,4,A16917384,A16917384,0,3,3,5,3,5,1,5,1,1,5,3,5,2,3,0,1,0,3,3,5,2,1,0,1,5,3,0,2,2,5,0,3,1,2,5,5,0,3,2,3,5,2,5,0,5,0,5,0,5,0,0,5,3,5,0,2,5,2,5,2,5,4,4,5,4,2,2,2,4,5,2,3,4,4,4,2,1,6,2,,2,3,,8,"1,2",9,189,37,189,,1,5,9,6,5,12,54,34,35,46,60,40961
2022-05-11 01:42:48,2022-05-11 01:57:18,0,72.220.186.23,100,869,1,2022-05-11 01:57:19,R_2R3z5RqAAoxGAAr,,,,,32.7097,-117.1228,anonymous,EN,1,4,A15583685,A15583685,1,5,5,3,5,3,5,3,2,2,3,3,3,1,3,2,5,2,3,3,3,3,2,0,3,2,2,0,3,2,3,1,2,3,3,3,3,2,5,3,3,2,1,2,1,3,1,3,1,5,0,3,3,3,3,3,2,1,3,3,3,5,3,3,4,3,3,3,3,4,2,3,3,3,3,3,3,1,10,1,,1,1,,1,,6,189,189,189,,1,7,9,9,10,9,43,42,44,40,43,27601
2022-05-11 11:17:44,2022-05-11 11:43:59,0,107.116.89.135,100,1574,1,2022-05-11 11:43:59,R_2dn0TSAEOji89SA,,,,,37.7201,-122.4414,anonymous,EN,1,4,A17204514,A17204514,1,3,3,5,3,3,2,3,2,1,3,2,2,3,3,1,3,1,0,2,3,2,1,0,3,3,2,0,3,3,5,1,1,1,3,3,2,2,5,3,1,5,2,3,0,3,0,2,2,5,0,2,2,2,3,1,2,3,3,2,1,3,3,2,4,4,3,2,4,3,4,4,3,2,4,4,3,1,13,2,,2,1,,8,"2,5",5,189,189,189,,1,7,8,10,6,6,44,34,36,48,48,43126
2022-05-11 18:31:41,2022-05-11 19:15:17,0,66.75.248.204,100,2616,1,2022-05-11 19:15:18,R_10uX2iKUVdSHSqc,,,,,32.8595,-117.2124,anonymous,EN,1,4,A15949517,A15949517,1,3,5,5,5,3,5,5,0,1,5,5,5,0,2,3,5,0,5,5,1,2,1,2,2,1,0,0,0,1,5,1,3,1,5,5,2,5,5,0,5,2,0,3,0,0,3,2,0,5,0,3,3,2,3,0,0,1,2,3,3,5,1,4,3,3,5,3,2,4,1,5,5,5,3,1,4,1,8,2,,2,3,,3,,7,189,189,189,,1,8,9,14,13,13,55,48,46,48,37,33032
2022-05-11 19:55:03,2022-05-11 20:10:46,0,76.176.196.221,100,942,1,2022-05-11 20:10:47,R_3e80gNAWYuk6Q82,,,,,32.8425,-117.2484,anonymous,EN,1,4,A17218525,A17218525,0,0,5,2,0,5,3,5,2,0,5,5,5,2,5,0,3,1,3,3,5,3,3,5,3,5,5,0,5,1,5,0,1,3,1,5,5,0,1,3,1,5,2,5,0,5,0,5,0,3,0,3,5,0,5,3,5,5,5,5,5,5,4,4,5,5,1,3,2,2,1,2,2,4,5,1,2,1,9,1,,1,1,,1,,7,189,189,189,,1,6,9,5,11,12,46,30,28,30,60,43172
2022-05-11 21:28:08,2022-05-11 21:42:10,0,69.196.33.17,100,841,1,2022-05-11 21:42:10,R_10NmHHVMxmdjMvV,,,,,32.6657,-117.0272,anonymous,EN,1,4,A16306089,A16306089,1,2,2,3,1,1,3,3,3,2,2,2,2,1,1,1,2,1,1,1,1,1,3,2,2,2,1,0,2,3,2,2,2,1,3,2,1,2,2,1,2,2,1,2,1,2,1,2,2,3,0,2,3,2,1,1,1,2,2,2,2,3,3,3,2,4,3,4,3,2,4,3,4,3,3,3,3,1,8,1,,1,1,,1,,7,86,37,189,20,4,11,11,9,7,9,37,37,38,44,37,38795
2022-05-11 22:49:07,2022-05-11 23:00:54,0,128.54.26.105,100,706,1,2022-05-11 23:00:55,R_3MbtzyTEU6eQrNv,,,,,32.8509,-117.2722,anonymous,EN,1,4,A16380408,A16380408,1,1,2,3,3,3,3,3,2,1,3,2,2,3,3,1,2,1,2,3,3,2,5,1,3,5,3,0,2,1,3,1,1,1,3,3,3,1,3,2,1,3,3,0,0,3,3,3,2,3,0,3,3,5,3,2,3,3,3,2,1,3,3,2,3,3,3,5,4,4,4,4,3,2,4,4,2,1,7,2,,2,3,,3,,7,189,189,189,,4,7,11,9,7,6,37,36,34,41,47,36151
2022-05-11 23:04:39,2022-05-11 23:19:50,0,128.54.144.90,100,911,1,2022-05-11 23:19:51,R_12mzphY9U24z1M6,,,,,33.8681,-118.1831,anonymous,EN,1,4,A15597864,A15597864,3,3,2,5,3,1,3,3,1,2,1,1,1,0,2,2,3,1,1,3,2,3,3,1,1,1,1,0,3,1,5,3,3,3,3,3,1,3,2,1,3,1,1,1,2,3,3,3,1,3,0,3,1,3,3,1,1,3,1,1,1,3,3,4,3,2,3,3,2,3,2,3,3,3,3,2,3,1,10,1,,1,1,,1,,8,189,189,189,,1,9,9,9,12,11,34,39,48,47,28,27623
2022-05-12 16:24:09,2022-05-12 16:46:24,0,108.86.183.51,100,1334,1,2022-05-12 16:46:25,R_2qC0BmHlHHMCDS5,,,,,32.6773,-117.0477,anonymous,EN,1,4,A17132665,A17132665,5,2,1,5,5,2,3,3,0,3,3,1,2,0,1,2,3,2,1,5,2,1,3,0,3,2,2,0,1,2,1,1,2,3,3,3,2,2,1,1,3,1,1,1,0,1,1,3,3,5,0,5,1,2,2,1,0,0,2,1,0,5,3,3,3,2,3,4,3,1,3,1,4,3,1,3,1,1,9,2,,2,1,,2,,6,189,189,189,,1,13,11,5,10,9,31,53,40,54,33,43776
2022-05-13 01:32:45,2022-05-13 01:42:25,0,44.195.19.86,100,580,1,2022-05-13 01:42:26,R_sosAPhvjvYVqIdH,,,,,39.0469,-77.4903,anonymous,EN,1,4,A17082219,A17082219,1,2,3,3,3,1,2,3,1,3,3,3,3,3,3,1,2,1,2,3,2,2,1,1,3,2,3,0,1,2,2,1,1,3,3,3,2,2,3,1,3,1,1,3,1,2,2,3,1,3,0,3,1,2,3,1,1,1,2,2,1,3,4,3,2,3,4,3,2,3,3,3,3,3,3,3,2,1,7,2,,2,1,,3,,5,189,189,189,,1,10,10,9,9,10,45,44,35,44,36,40116
2022-05-13 12:08:34,2022-05-13 12:20:36,0,98.176.67.43,100,722,1,2022-05-13 12:20:37,R_1ocowA7p6Q80Jsa,,,,,32.6539,-116.9773,anonymous,EN,1,4,A17138627,A17138627,1,2,2,2,1,2,1,3,3,3,3,3,3,3,3,3,3,2,1,2,3,3,2,2,2,3,2,2,1,3,5,3,2,3,3,2,2,2,3,3,2,2,3,3,3,3,3,3,2,3,2,3,2,3,3,2,2,2,2,2,2,2,2,2,4,4,4,1,4,3,3,3,3,3,3,3,3,1,11,1,,1,1,,1,,5,37,37,189,20,1,8,6,10,8,7,41,33,37,36,37,41081
2022-05-13 23:27:02,2022-05-13 23:58:47,0,68.252.125.78,100,1904,1,2022-05-13 23:58:48,R_3JjS3FrXP6G0VPU,,,,,32.8595,-117.2124,anonymous,EN,1,4,A16127427,A16127427,1,2,5,3,2,2,3,3,1,2,2,2,5,2,1,1,2,0,3,5,3,1,1,2,2,1,3,0,0,3,5,1,2,0,3,3,1,2,5,0,5,2,1,5,1,1,2,1,1,3,0,2,1,1,3,0,2,2,3,3,1,3,5,3,3,2,5,5,3,2,3,5,5,3,3,3,4,1,9,2,,2,1,,1,,7,37,37,189,14,1,10,15,14,10,9,55,42,33,46,37,32326
2022-05-14 01:57:51,2022-05-14 02:11:25,0,128.54.176.189,100,814,1,2022-05-14 02:11:26,R_yOaIRRwoCxb7fH3,,,,,32.8509,-117.2722,anonymous,EN,1,4,A16375409,A16375409,1,1,3,5,3,2,5,5,2,2,5,2,3,0,3,1,3,2,3,3,3,2,0,2,2,3,3,0,1,2,5,0,3,0,2,3,3,3,5,2,3,3,2,5,1,3,5,2,0,5,0,3,5,2,5,2,1,3,2,5,2,5,2,2,4,4,2,4,5,4,4,2,4,1,3,3,2,1,7,2,,2,1,,2,,3,189,189,189,,1,7,10,6,7,4,55,40,39,42,47,36651
2022-05-14 11:21:49,2022-05-14 11:41:38,0,72.197.207.114,100,1188,1,2022-05-14 11:41:39,R_3j2qJ3gTxQ3knG4,,,,,32.6595,-116.9685,anonymous,EN,1,4,A16549964,A16549964,3,3,3,3,2,2,3,3,1,1,3,1,3,1,1,2,2,2,3,2,1,2,2,1,2,2,2,0,3,3,3,3,2,2,3,3,1,2,3,1,3,2,2,2,2,3,1,3,2,3,0,1,1,1,2,2,1,2,2,2,1,3,4,3,3,2,3,4,3,2,2,3,3,4,3,3,3,1,10,1,,1,1,,1,,5,189,189,189,,1,10,11,9,11,10,39,37,39,44,33,42289
2022-05-14 16:06:15,2022-05-14 16:18:16,0,128.54.145.33,100,720,1,2022-05-14 16:18:16,R_2al9jV9Nq5yDD8t,,,,,33.8681,-118.1831,anonymous,EN,1,4,A17237915,A17237915,1,1,3,5,1,3,3,2,1,1,3,3,3,0,1,1,3,1,3,2,3,1,1,0,1,3,5,0,1,2,5,0,1,1,3,2,3,2,3,1,2,3,1,1,1,3,3,2,0,5,0,1,3,1,5,1,5,3,3,5,2,2,4,4,4,4,3,4,2,3,3,3,4,4,4,3,3,1,9,1,,1,1,,8,"2,3",4,189,189,189,,1,7,12,9,8,12,48,28,31,48,47,41603
2022-05-14 19:02:12,2022-05-14 19:16:27,0,128.54.186.138,100,854,1,2022-05-14 19:16:28,R_1BShW3hOFIvkON1,,,,,32.8509,-117.2722,anonymous,EN,1,4,A17099416,A17099416,1,3,2,3,1,3,2,3,1,0,5,1,2,1,5,3,5,2,3,2,3,3,5,1,1,5,2,0,1,3,5,1,2,1,3,1,3,3,3,1,1,3,1,1,1,3,1,2,3,3,0,1,3,1,1,1,3,3,3,1,1,2,4,3,4,3,3,2,3,3,3,3,4,4,3,3,3,1,6,2,,2,3,,1,,6,189,189,189,,1,8,10,9,9,10,34,23,41,46,48,43959
2022-05-14 23:22:52,2022-05-14 23:30:08,0,128.54.155.201,100,435,1,2022-05-14 23:30:09,R_W2MQHKgfQzh9y4p,,,,,32.8509,-117.2722,anonymous,EN,1,4,A17234314,A17234314,1,2,3,3,2,3,1,5,2,1,3,3,3,2,3,1,3,3,3,3,3,2,2,2,2,3,3,0,2,2,3,1,2,3,2,2,3,2,3,2,3,3,2,2,1,3,1,1,1,3,0,2,2,1,3,1,2,2,3,3,3,2,4,4,3,4,4,4,3,3,4,4,4,4,4,4,4,1,9,1,,1,1,,1,,5,189,189,189,,1,8,12,12,6,11,42,34,31,38,46,42928
2022-05-13 21:13:07,2022-05-15 00:29:31,0,166.205.107.4,100,98184,1,2022-05-15 00:29:33,R_viZTii3k7eoGhoZ,,,,,33.9484,-118.2493,anonymous,EN,1,4,A1714405,A1714405,3,2,3,5,3,1,3,3,1,1,5,5,5,1,2,2,3,2,2,2,3,2,1,2,2,3,2,0,2,1,5,1,2,2,5,5,5,3,3,0,3,5,2,2,0,1,3,3,1,5,0,5,5,5,5,2,1,5,5,2,0,5,3,4,2,2,3,5,4,2,3,3,3,3,3,4,2,1,8,2,,2,1,,5,,8,81,189,189,6,1,11,11,8,9,9,45,43,38,49,46,41824
2022-05-15 01:34:47,2022-05-15 01:57:10,0,68.107.22.251,100,1343,1,2022-05-15 01:57:12,R_2TEFe8SFjXVsCXA,,,,,32.6657,-117.0272,anonymous,EN,1,4,A16374547,A16374547,1,3,5,3,1,2,2,5,0,0,3,2,3,3,3,3,5,3,2,5,3,0,2,0,1,3,2,0,3,1,5,1,1,2,3,2,2,1,3,1,0,3,1,2,1,5,2,2,1,3,0,1,2,0,3,1,3,5,1,5,1,3,2,2,3,4,2,3,4,1,4,1,3,3,3,3,2,1,7,1,,1,1,,1,,7,189,189,189,,1,11,8,5,7,7,44,26,35,45,43,37087
2022-05-15 13:06:34,2022-05-15 13:14:50,0,128.54.172.204,100,495,1,2022-05-15 13:14:51,R_1M63TZZ1gRGQARL,,,,,32.8509,-117.2722,anonymous,EN,1,4,A16346077,A16346077,1,3,5,5,5,1,3,5,0,3,3,1,3,0,1,1,3,1,1,3,1,1,1,0,1,1,3,0,3,3,1,1,1,1,3,3,1,1,3,0,3,3,0,3,1,1,1,1,0,3,0,3,1,1,5,0,0,3,3,3,0,3,2,2,4,4,4,2,4,3,3,3,4,3,3,4,3,1,8,1,,1,1,,1,,4,86,189,189,4,1,8,8,10,7,7,50,48,35,55,38,44074
2022-05-15 13:31:13,2022-05-15 13:47:59,0,99.76.231.23,100,1006,1,2022-05-15 13:48:00,R_1OkSv0oG6MQva2l,,,,,32.8595,-117.2124,anonymous,EN,1,4,A15912815,A15912815,2,3,2,3,3,1,3,3,1,3,3,2,3,1,1,3,3,1,3,3,1,2,3,1,3,2,2,0,2,3,1,2,2,1,3,3,1,3,2,1,3,1,1,1,1,1,3,3,3,3,0,3,1,3,3,1,1,2,2,1,1,3,3,4,2,2,3,4,3,2,2,2,3,2,2,2,2,1,8,2,,2,1,,1,,8,75,75,189,19,1,12,10,7,12,9,37,48,43,46,30,34921
2022-05-15 14:59:25,2022-05-15 15:09:53,0,128.54.157.85,100,628,1,2022-05-15 15:09:53,R_2eUxmnXj1lk4RG4,,,,,32.8509,-117.2722,anonymous,EN,1,4,A16648681,A16648681,1,3,3,5,2,3,5,5,1,1,3,3,2,1,2,1,2,2,3,3,3,3,3,0,2,3,3,0,2,1,3,1,2,1,2,2,2,2,3,1,3,3,2,1,1,3,2,2,3,5,0,3,2,2,1,1,2,3,3,1,1,2,4,3,3,3,4,2,3,4,3,4,3,2,4,4,3,1,8,2,,2,1,,1,,5,189,189,189,,1,7,9,11,8,8,36,36,37,46,45,37047
2022-05-15 14:53:38,2022-05-15 15:13:09,0,128.54.174.115,100,1171,1,2022-05-15 15:13:10,R_2WAO4p6dGE3wZge,,,,,32.8509,-117.2722,anonymous,EN,1,4,A16759709,A16759709,3,3,5,3,3,2,5,3,2,3,2,2,1,0,3,0,3,1,0,2,1,3,5,1,3,3,2,0,0,2,3,1,1,1,3,3,1,2,2,1,2,2,0,0,0,2,1,1,1,3,0,2,3,2,2,0,1,5,2,2,1,3,2,2,3,1,1,2,4,3,3,2,2,2,3,3,4,1,7,2,,2,1,,3,,4,189,189,189,,1,9,6,7,11,6,39,40,41,50,41,44075
2022-05-15 15:28:51,2022-05-15 15:44:17,0,128.54.204.2,100,926,1,2022-05-15 15:44:18,R_1eDZKqMmnz4n401,,,,,32.8509,-117.2722,anonymous,EN,1,4,A16950843,A16950843,1,2,5,3,3,2,1,3,1,2,3,5,3,2,2,1,3,1,3,2,3,5,3,2,3,3,2,0,3,3,5,1,2,3,3,3,1,3,5,2,3,2,1,0,1,2,1,3,1,3,0,3,1,3,3,1,1,2,3,3,2,3,5,2,4,4,2,4,4,5,2,2,4,4,5,2,4,1,7,1,,1,1,,3,,6,189,189,189,,1,4,13,8,10,8,41,41,39,42,41,43305
2022-05-15 16:00:20,2022-05-15 16:25:17,0,172.251.216.70,100,1497,1,2022-05-15 16:25:19,R_2U9LALUD1MkQqrY,,,,,33.4948,-117.0954,anonymous,EN,1,4,A17021363,A17021363,0,3,5,3,1,3,3,5,1,0,5,0,1,1,5,0,5,0,5,3,1,3,5,2,5,3,2,0,0,1,5,0,1,0,3,5,3,2,5,2,5,0,0,0,1,1,1,5,1,5,0,1,0,3,5,2,3,3,0,3,3,5,4,1,5,4,3,5,5,4,4,2,5,1,5,4,2,1,7,1,,1,1,,1,,4,189,189,189,,1,4,14,7,6,3,47,37,49,39,44,43094
2022-05-15 22:21:23,2022-05-15 22:34:29,0,69.196.34.31,100,786,1,2022-05-15 22:34:30,R_2AGULc8HOEBm4ZN,,,,,32.6657,-117.0272,anonymous,EN,1,4,A16221371,A16221371,0,5,3,5,3,3,5,3,0,1,5,2,3,1,0,0,5,1,1,5,5,3,1,0,3,3,3,0,0,1,5,1,5,0,5,3,3,3,5,0,5,3,0,3,0,1,0,5,0,5,0,3,0,3,3,0,1,5,0,3,0,3,4,3,4,3,5,2,3,4,4,4,5,4,3,4,2,1,7,2,,2,3,,1,,6,78,189,189,13,1,7,11,11,7,10,52,46,52,55,51,40417
2022-05-15 23:29:45,2022-05-15 23:38:53,0,172.116.113.243,100,548,1,2022-05-15 23:38:54,R_21G7XS5pZYmcpVA,,,,,32.9164,-117.1393,anonymous,EN,1,4,A15935124,A15935124,1,3,3,3,3,3,3,3,1,1,5,2,2,1,2,1,3,1,3,3,3,3,5,1,3,5,2,0,2,2,3,1,2,3,3,3,5,2,2,1,3,2,1,2,3,1,2,5,1,5,0,3,2,3,3,2,2,2,3,2,2,5,2,4,2,4,3,4,2,4,3,3,3,3,3,3,4,1,9,2,,2,1,,3,,5,189,189,189,,1,9,9,10,8,11,38,43,43,42,47,35749
2022-05-16 00:04:09,2022-05-16 00:12:00,0,128.54.183.30,100,471,1,2022-05-16 00:12:01,R_2qqLEovDlogTLjE,,,,,32.8509,-117.2722,anonymous,EN,1,4,A16809193,A16809193,1,3,3,5,5,2,3,5,0,2,3,2,3,0,2,1,2,1,1,3,3,2,2,1,3,3,3,0,2,1,2,1,2,3,2,5,3,3,5,1,3,5,2,3,1,2,3,5,2,3,0,3,2,2,3,1,0,3,2,3,1,3,4,2,3,4,3,4,4,2,3,3,3,2,3,4,3,1,7,1,,1,1,,1,,6,189,189,189,,1,10,11,9,7,6,45,47,40,48,45,43676
2022-05-16 11:57:34,2022-05-16 12:38:11,0,128.54.209.116,100,2437,1,2022-05-16 12:38:12,R_1DzHANFoaULgoSh,,,,,32.8509,-117.2722,anonymous,EN,1,4,A16871410,A16871410,3,3,2,3,3,1,3,3,1,2,3,2,3,1,1,3,3,1,2,3,1,2,1,2,2,1,3,0,1,3,3,2,3,0,2,3,1,2,3,0,1,1,1,2,1,1,3,3,1,5,0,3,1,2,3,1,0,2,1,3,3,2,4,4,1,1,5,4,2,3,1,2,4,4,3,4,4,1,6,2,,2,1,,1,,7,37,37,189,19,4,11,12,11,12,12,47,42,42,45,28,42252
2022-05-16 13:03:37,2022-05-16 13:16:55,0,72.196.173.126,100,798,1,2022-05-16 13:16:55,R_yqLWjkEnPVyA4SZ,,,,,33.1366,-117.0611,anonymous,EN,1,4,A16583212,A16583212,0,2,3,3,3,3,2,5,1,1,3,2,5,3,3,1,2,1,3,3,3,3,1,2,3,3,2,0,1,1,3,0,1,3,3,3,1,1,5,5,3,1,2,2,0,3,1,5,1,3,0,3,2,1,3,3,1,3,2,3,3,3,2,4,3,5,1,3,2,3,4,2,2,4,3,4,2,1,9,2,,2,1,,1,,6,189,189,189,,1,9,7,5,5,12,48,40,36,35,45,36951
2022-05-16 14:39:46,2022-05-16 14:52:17,0,24.25.202.142,100,750,1,2022-05-16 14:52:17,R_3RjDKXHZ4YgJ9B5,,,,,32.7967,-117.1367,anonymous,EN,1,4,A16535007,A16535007,0,3,2,3,3,3,5,5,2,3,3,3,2,2,1,2,3,1,3,3,2,3,0,3,5,1,1,0,2,1,1,0,2,1,1,5,1,3,3,2,3,0,1,3,1,2,2,5,1,3,0,3,3,5,5,2,1,2,2,5,3,5,4,4,3,4,4,5,3,3,4,3,4,4,3,3,3,1,16,1,,1,2,,2,,9,189,189,189,,1,9,13,10,7,11,49,50,47,34,39,44046
2022-05-16 22:10:55,2022-05-16 22:28:54,0,76.176.144.157,100,1079,1,2022-05-16 22:28:55,R_82gGLyTHBmM342d,,,,,32.8595,-117.2124,anonymous,EN,1,4,A16100511,A16100511,1,0,1,2,3,3,2,3,2,1,3,3,3,2,3,3,2,0,5,3,3,0,2,1,2,1,5,0,1,0,3,2,1,2,2,3,2,0,3,3,3,2,3,2,2,3,2,3,2,3,0,2,1,2,3,5,2,1,2,2,2,3,2,2,3,2,3,2,3,3,2,3,3,2,3,3,2,1,23,2,,2,4,,3,,5,189,189,189,,1,9,7,8,11,7,42,37,26,31,36,38444
2022-05-10 09:21:57,2022-05-10 09:28:31,0,128.54.196.183,91,393,0,2022-05-17 09:28:40,R_z6Jt2RTlTTSow01,,,,,,,anonymous,EN,1,4,A16979564,A16979564,3,3,3,3,2,1,5,5,1,2,1,1,3,2,2,1,5,1,3,3,1,2,2,3,3,1,1,0,1,2,3,3,1,1,3,3,3,3,3,1,3,1,1,3,1,1,1,3,1,3,0,3,1,2,5,3,1,0,3,5,3,5,3,4,2,2,4,4,2,2,2,3,3,4,3,2,4,1,6,1,,1,1,,1,,8,189,189,189,,1,11,10,11,12,12,50,44,44,38,29,42613
2022-05-17 17:19:53,2022-05-17 17:32:17,0,128.54.7.153,100,743,1,2022-05-17 17:32:18,R_2ci7iypr3IdYrz8,,,,,32.8595,-117.2124,anonymous,EN,1,4,A16688035,A16688035,2,3,3,3,2,3,5,3,1,1,3,2,3,1,3,1,5,1,1,3,2,3,2,1,3,1,1,0,0,1,5,1,1,3,3,3,3,3,5,1,2,3,1,2,0,3,3,3,2,3,0,3,5,2,3,1,3,3,2,2,1,3,4,2,4,4,2,4,4,4,4,2,4,2,4,4,2,1,8,2,,2,3,,3,,4,189,189,189,,1,6,12,6,6,6,44,35,45,47,43,35842
2022-05-17 22:39:47,2022-05-17 22:50:55,0,70.95.79.204,100,668,1,2022-05-17 22:50:56,R_21afGF3qjaAdsZg,,,,,32.9511,-117.2241,anonymous,EN,1,4,A17183839,A17183839,3,1,1,2,2,2,1,3,1,3,3,2,2,2,1,1,3,2,3,2,1,1,1,0,2,1,1,0,2,2,3,1,3,2,2,2,1,1,1,2,2,1,2,2,2,1,2,2,2,1,1,2,2,2,2,1,1,1,2,2,1,3,2,3,3,3,4,4,2,2,2,2,2,3,2,2,3,1,8,1,,1,1,,3,,6,189,189,189,,1,11,8,9,11,10,36,40,35,39,33,41832
2022-05-18 00:14:40,2022-05-18 00:23:55,0,76.171.174.88,100,555,1,2022-05-18 00:23:56,R_tFifiAdXGg4hk65,,,,,33.3683,-117.2333,anonymous,EN,1,4,A15562719,A15562719,0,1,3,5,2,3,3,5,0,3,5,2,3,0,3,0,5,2,1,5,3,0,0,0,3,5,5,0,0,3,3,0,2,0,3,5,2,2,5,0,3,5,0,3,0,3,1,3,1,5,0,3,5,2,5,1,1,3,3,3,0,3,3,3,4,4,3,1,3,4,4,3,2,3,4,5,2,1,10,2,,2,1,,1,,4,189,189,189,,1,6,6,8,5,9,53,43,36,56,54,29514
2022-05-18 00:21:24,2022-05-18 00:36:01,0,76.167.210.25,100,876,1,2022-05-18 00:36:02,R_sciOhAuGyYyLk2d,,,,,32.8595,-117.2124,anonymous,EN,1,4,A16124572,A16124572,0,1,2,3,3,2,5,2,0,2,3,2,3,1,1,3,2,1,2,3,2,1,2,0,2,3,3,0,1,1,3,0,0,1,1,1,1,2,3,0,2,3,2,1,1,1,2,0,0,5,0,2,0,1,2,0,0,2,3,1,0,2,3,1,3,4,1,4,5,2,5,1,4,1,2,4,1,1,9,2,,2,1,,8,"2,3",5,112,189,189,6,1,11,11,3,5,3,41,40,29,49,39,34906
2022-05-18 10:37:05,2022-05-18 10:50:24,0,137.110.139.201,100,798,1,2022-05-18 10:50:25,R_R2DHz092ToqQ6f7,,,,,32.9661,-117.1202,anonymous,EN,1,4,A15442572,A15442572,1,2,3,3,2,3,3,3,2,3,5,3,3,1,0,2,3,1,2,3,2,2,2,2,3,3,2,0,2,1,3,1,2,1,1,3,2,2,3,1,3,3,1,3,1,1,1,2,1,3,0,3,2,2,2,2,1,3,2,3,3,3,3,3,3,2,3,3,4,3,2,2,3,3,3,3,2,1,9,2,,2,3,,1,,6,189,189,189,,1,9,9,7,11,8,45,46,38,38,45,30101
