"","","","","","","","","Survey","Question 1","Question 2","Question 3","Question 4","Question 5"
"04/15/2022 09:00AM","04/15/2022 09:02AM","04/15/2022 09:00AM - 04/15/2022 9:59PM",85.24,"Yes","6259960e96024c588cb2a14f","0.0","0.0","Participant 14",,,,,"A17055840"
"04/15/2022 12:09PM","04/15/2022 12:11PM","04/15/2022 09:00AM - 04/15/2022 9:59PM",86.056,"Yes","6259c28796024c588cb2a1f2",,,"Participant 15",,,,,"A16199023"
"04/17/2022 5:17PM","04/17/2022 5:18PM","04/17/2022 09:00AM - 04/17/2022 9:59PM",97.938,"Yes","625cadca96024c588cb2a6c7","0.0","0.0","Participant 17",,,,,"A16454931"
"04/18/2022 9:55PM","04/18/2022 9:56PM","04/18/2022 09:00AM - 04/18/2022 9:59PM",40.934,"Yes","625e407f96024c588cb2abf8","0.0","0.0","Participant 18",,,,,"A17202947"
"04/22/2022 2:14PM","04/22/2022 2:15PM","04/22/2022 09:00AM - 04/22/2022 9:59PM",68.753,"Yes","62631a720620670dec7d3924","0.0","0.0","Participant 20",,,,,"A15983270"
"04/26/2022 9:34PM","04/26/2022 9:35PM","04/26/2022 09:00AM - 04/26/2022 9:59PM",79.311,"Yes","6268c788a24bb40ddc121954","0.0","0.0","Participant 23",,,,,"A16256529"
"04/28/2022 10:50AM","04/28/2022 10:52AM","04/28/2022 09:00AM - 04/28/2022 9:59PM",92.959,"Yes","626ad3c870be000de88cae50","0.0","0.0","Participant 24",,,,,"A17223908"
"04/29/2022 09:56AM","04/29/2022 09:57AM","04/29/2022 09:00AM - 04/29/2022 9:59PM",47.879,"Yes","626b933870be000de88cb43c","0.0","0.0","Participant 25",,,,,"A16151047"
"05/02/2022 12:04PM","05/02/2022 12:06PM","05/02/2022 09:00AM - 05/02/2022 9:59PM",117.39,"Yes","62702a69fe66e90df384981a",,,"Participant 27",,,,,"A16653271"
"05/02/2022 12:57PM","05/02/2022 12:57PM","05/02/2022 09:00AM - 05/02/2022 9:59PM",37.631,"Yes","627036c7fe66e90df38498ee","0.0","0.0","Participant 28",,,,,"A17217286"
"05/02/2022 3:27PM","05/02/2022 3:30PM","05/02/2022 09:00AM - 05/02/2022 9:59PM",195.594,"Yes","62705a47fe66e90df3849a01","0.0","0.0","Participant 29",,,,,"PID：A17179730"
"05/02/2022 4:59PM","05/02/2022 5:00PM","05/02/2022 09:00AM - 05/02/2022 9:59PM",99.78,"Yes","62707021fe66e90df3849a6f","0.0","0.0","Participant 30",,,,,"A16334745"
"05/02/2022 9:47PM","05/02/2022 9:48PM","05/02/2022 09:00AM - 05/02/2022 9:59PM",103.705,"Yes","6270b3a7fe66e90df3849b68","0.0","0.0","Participant 31",,,,,"A16790705"
"05/03/2022 10:53AM","05/03/2022 10:53AM","05/03/2022 09:00AM - 05/03/2022 9:59PM",23.866,"Yes","6270e376fe66e90df3849ce1","0.0","0.0","Participant 33",,,,,"A16306765"
"05/03/2022 1:22PM","05/03/2022 1:24PM","05/03/2022 09:00AM - 05/03/2022 9:59PM",137.178,"Yes","62718e5dfe66e90df384a290","0.0","0.0","Participant 34",,,,,"A16247845"
"05/03/2022 2:39PM","05/03/2022 2:40PM","05/03/2022 09:00AM - 05/03/2022 9:59PM",55.326,"Yes","6271a08bfe66e90df384a30a","0.0","0.0","Participant 35",,,,,"A16894555"
"05/03/2022 8:59PM","05/03/2022 9:03PM","05/03/2022 09:00AM - 05/03/2022 9:59PM",214.619,"Yes","6271f9d6fe66e90df384a41c","0.0","0.0","Participant 36",,,,,"A16940671"
"05/04/2022 4:25PM","05/04/2022 4:25PM","05/04/2022 09:00AM - 05/04/2022 9:59PM",15.716,"Yes","62730b50fe66e90df384b16a","0.0","0.0","Participant 38",,,,,"A17194011"
"05/04/2022 7:06PM","05/04/2022 7:08PM","05/04/2022 09:00AM - 05/04/2022 9:59PM",98.214,"Yes","627330f7fe66e90df384b1fa","0.0","0.0","Participant 39",,,,,"A15389004"
"05/05/2022 2:54PM","05/05/2022 2:56PM","05/05/2022 09:00AM - 05/05/2022 9:59PM",128.399,"Yes","627447478e0a1b1e6e4d9417","0.0","0.0","Participant 40",,,,,"A16771475"
"05/05/2022 5:31PM","05/05/2022 5:32PM","05/05/2022 09:00AM - 05/05/2022 9:59PM",51.65,"Yes","62746c268e0a1b1e6e4d94a0","0.0","0.0","Participant 41",,,,,"A17078999"
"05/05/2022 6:50PM","05/05/2022 6:51PM","05/05/2022 09:00AM - 05/05/2022 9:59PM",107.33,"Yes","62747e9d8e0a1b1e6e4d94df","0.0","0.0","Participant 42",,,,,"A16954857"
"05/06/2022 09:08AM","05/06/2022 09:09AM","05/06/2022 09:00AM - 05/06/2022 9:59PM",32.99,"Yes","6274c79f8e0a1b1e6e4d95a9","0.0","0.0","Participant 43",,,,,"A15563979"
"05/06/2022 3:43PM","05/06/2022 3:44PM","05/06/2022 09:00AM - 05/06/2022 9:59PM",61.019,"Yes","6275a4548e0a1b1e6e4da091","0.0","0.0","Participant 44",,,,,"A16719651"
"05/06/2022 5:32PM","05/06/2022 5:35PM","05/06/2022 09:00AM - 05/06/2022 9:59PM",135.355,"Yes","6275be068e0a1b1e6e4da0e1","0.0","0.0","Participant 45",,,,,"A16649430"
"05/06/2022 9:39PM","05/06/2022 9:42PM","05/06/2022 09:00AM - 05/06/2022 9:59PM",122.426,"Yes","6275f7ea8e0a1b1e6e4da16e","0.0","0.0","Participant 46",,,,,"A16352222"
"05/07/2022 1:21PM","05/07/2022 1:23PM","05/07/2022 09:00AM - 05/07/2022 9:59PM",122.859,"Yes","6276d4328e0a1b1e6e4dab43","0.0","0.0","Participant 48",,,,,"A17110410"
"05/07/2022 3:36PM","05/07/2022 3:38PM","05/07/2022 09:00AM - 05/07/2022 9:59PM",102.894,"Yes","6276f4248e0a1b1e6e4daba7","0.0","0.0","Participant 49",,,,,"A16786525"
"05/07/2022 4:36PM","05/07/2022 4:37PM","05/07/2022 09:00AM - 05/07/2022 9:59PM",68.823,"Yes","627702318e0a1b1e6e4dabd0","0.0","0.0","Participant 50",,,,,"A16299633"
"05/07/2022 4:47PM","05/07/2022 4:49PM","05/07/2022 09:00AM - 05/07/2022 9:59PM",123.918,"Yes","627704aa8e0a1b1e6e4dabda","0.0","0.0","Participant 51",,,,,"A16552953"
"05/07/2022 8:16PM","05/07/2022 8:16PM","05/07/2022 09:00AM - 05/07/2022 9:59PM",27.476,"Yes","6277353f8e0a1b1e6e4dac3a","0.0","0.0","Participant 52",,,,,"A16642946"
"05/07/2022 8:23PM","05/07/2022 8:24PM","05/07/2022 09:00AM - 05/07/2022 9:59PM",62.647,"Yes","6277379b8e0a1b1e6e4dac44","0.0","0.0","Participant 53",,,,,"A16767287"
"05/07/2022 9:14PM","05/07/2022 9:18PM","05/07/2022 09:00AM - 05/07/2022 9:59PM",207.365,"Yes","627743718e0a1b1e6e4dac55","0.0","0.0","Participant 54",,,,,"A17222178"
"05/08/2022 1:08PM","05/08/2022 1:11PM","05/08/2022 09:00AM - 05/08/2022 9:59PM",139.933,"Yes","627822b58e0a1b1e6e4db5d9","0.0","0.0","Participant 55",,,,,"A16194975"
"05/08/2022 2:14PM","05/08/2022 2:15PM","05/08/2022 09:00AM - 05/08/2022 9:59PM",33.348,"Yes","627831bd8e0a1b1e6e4db63b","0.0","0.0","Participant 56",,,,,"A17147307"
"05/08/2022 3:44PM","05/08/2022 3:46PM","05/08/2022 09:00AM - 05/08/2022 9:59PM",84.623,"Yes","627847bd8e0a1b1e6e4db677","0.0","0.0","Participant 57",,,,,"A16895719"
"05/08/2022 5:10PM","05/08/2022 5:12PM","05/08/2022 09:00AM - 05/08/2022 9:59PM",72.924,"Yes","62785bd48e0a1b1e6e4db695","0.0","0.0","Participant 58",,,,,"A15487952"
"05/08/2022 5:39PM","05/08/2022 5:41PM","05/08/2022 09:00AM - 05/08/2022 9:59PM",160.847,"Yes","627862448e0a1b1e6e4db6af","0.0","0.0","Participant 59",,,,,"A17049706"
"05/08/2022 7:01PM","05/08/2022 7:02PM","05/08/2022 09:00AM - 05/08/2022 9:59PM",48.373,"Yes","627875de8e0a1b1e6e4db6d7","0.0","0.0","Participant 60",,,,,"A16653979"
"05/09/2022 09:35AM","05/09/2022 09:36AM","05/09/2022 09:00AM - 05/09/2022 9:59PM",86.671,"Yes","627942a28e0a1b1e6e4dc107","0.0","0.0","Participant 62",,,,,"A15486633"
"05/09/2022 3:55PM","05/09/2022 3:57PM","05/09/2022 09:00AM - 05/09/2022 9:59PM",150.988,"Yes","62799af28e0a1b1e6e4dc693",,,"Participant 63",,,,,"A17137899"
"05/09/2022 9:41PM","05/09/2022 9:44PM","05/09/2022 09:00AM - 05/09/2022 9:59PM",167.444,"Yes","6279ecd28e0a1b1e6e4dc7da","0.0","0.0","Participant 64",,,,,"A17044096"
"05/10/2022 10:13AM","05/10/2022 10:14AM","05/10/2022 09:00AM - 05/10/2022 9:59PM",57.689,"Yes","627a29fccad8430de894ae0a",,,"Participant 65",,,,,"A15468375"
"05/10/2022 09:00AM","05/10/2022 09:01AM","05/10/2022 09:00AM - 05/10/2022 9:59PM",85.386,"Yes","627a84b365d07a71b285dae8","0.0","0.0","Participant 66",,,,,"A16778872"
"05/10/2022 1:22PM","05/10/2022 1:22PM","05/10/2022 09:00AM - 05/10/2022 9:59PM",25.632,"Yes","627a851865d07a71b285dafe","0.0","0.0","Participant 67",,,,,"A16979564"
"05/10/2022 12:17PM","05/10/2022 12:19PM","05/10/2022 09:00AM - 05/10/2022 9:59PM",71.033,"Yes","627aba3f65d07a71b285de75","0.0","0.0","Participant 68",,,,,"A15825070"
"05/10/2022 3:17PM","05/10/2022 3:18PM","05/10/2022 09:00AM - 05/10/2022 9:59PM",110.536,"Yes","627ae42165d07a71b285e0a9","0.0","0.0","Participant 69",,,,,"A16632020"
"05/10/2022 9:00PM","05/10/2022 9:05PM","05/10/2022 09:00AM - 05/10/2022 9:59PM",273.928,"Yes","5e5591f04ea1000f9ff23120","0.0","0.0","Participant 70",,,,,"A15937170"
"05/11/2022 09:53AM","05/11/2022 09:57AM","05/11/2022 09:00AM - 05/11/2022 9:59PM",230.363,"Yes","627b630a65d07a71b285e4a6","0.0","0.0","Participant 71",,,,,"A16917384"
"05/11/2022 09:55AM","05/11/2022 09:58AM","05/11/2022 09:00AM - 05/11/2022 9:59PM",162.897,"Yes","627b6bbf65d07a71b285e536","0.0","0.0","Participant 72",,,,,"A15583685"
"05/11/2022 10:40AM","05/11/2022 10:41AM","05/11/2022 09:00AM - 05/11/2022 9:59PM",59.349,"Yes","627bf4a365d07a71b285f132","0.0","0.0","Participant 73",,,,,"A17204514"
"05/11/2022 6:10PM","05/11/2022 6:14PM","05/11/2022 09:00AM - 05/11/2022 9:59PM",225.666,"Yes","627c5e5065d07a71b285f621","0.0","0.0","Participant 74",,,,,"A15949517"
"05/11/2022 7:10PM","05/11/2022 7:11PM","05/11/2022 09:00AM - 05/11/2022 9:59PM",88.571,"Yes","627c6bfc65d07a71b285f651","0.0","0.0","Participant 75",,,,,"A17218525"
"05/11/2022 8:41PM","05/11/2022 8:43PM","05/11/2022 09:00AM - 05/11/2022 9:59PM",91.509,"Yes","627c81be65d07a71b285f6a4","0.0","0.0","Participant 76",,,,,"A16306089"
"05/12/2022 3:42PM","05/12/2022 3:45PM","05/12/2022 09:00AM - 05/12/2022 9:59PM",165.152,"Yes","627d8d1465d07a71b28607c3","0.0","0.0","Participant 79",,,,,"A17132665"
"05/13/2022 10:05AM","05/13/2022 10:06AM","05/13/2022 09:00AM - 05/13/2022 9:59PM",44.488,"Yes","627e8fa865d07a71b2861222","0.0","0.0","Participant 80",,,,,"A17082219"
"05/13/2022 11:19AM","05/13/2022 11:20AM","05/13/2022 09:00AM - 05/13/2022 9:59PM",63.761,"Yes","627ea0e165d07a71b28612e1","0.0","0.0","Participant 81",,,,,"A17138627"
"05/13/2022 6:24PM","05/13/2022 6:28PM","05/13/2022 09:00AM - 05/13/2022 9:59PM",198.267,"Yes","627f04a365d07a71b2861632","0.0","0.0","Participant 82",,,,,"A16248767"
"05/14/2022 11:54AM","05/14/2022 11:57AM","05/14/2022 09:00AM - 05/14/2022 9:59PM",187.413,"Yes","627f637b65d07a71b2861820","0.0","0.0","Participant 84",,,,,"A16375409"
"05/14/2022 10:38AM","05/14/2022 10:40AM","05/14/2022 09:00AM - 05/14/2022 9:59PM",129.544,"Yes","627fe88765d07a71b2861cba","0.0","0.0","Participant 85",,,,,"A16549964"
"05/14/2022 3:18PM","05/14/2022 3:20PM","05/14/2022 09:00AM - 05/14/2022 9:59PM",148.383,"Yes","62802a4965d07a71b2861f17","0.0","0.0","Participant 86",,,,,"A17237915"
"05/14/2022 6:13PM","05/14/2022 6:14PM","05/14/2022 09:00AM - 05/14/2022 9:59PM",36.668,"Yes","6280539a65d07a71b2861f79","0.0","0.0","Participant 87",,,,,"A17099416"
"05/14/2022 6:15PM","05/14/2022 6:15PM","05/14/2022 09:00AM - 05/14/2022 9:59PM",11.355,"Yes","6280539a65d07a71b2861f79","0.0","0.0","Participant 87",,,,,"A17099416"
"05/15/2022 10:16AM","05/15/2022 10:20AM","05/15/2022 09:00AM - 05/15/2022 9:59PM",223.941,"Yes","6280b12165d07a71b28620bd","0.0","0.0","Participant 89",,,,,"A16374547"
"05/15/2022 12:13PM","05/15/2022 12:14PM","05/15/2022 09:00AM - 05/15/2022 9:59PM",43.164,"Yes","6281509665d07a71b286266a",,,"Participant 90",,,,,"A16346077"
"05/15/2022 12:45PM","05/15/2022 12:46PM","05/15/2022 09:00AM - 05/15/2022 9:59PM",84.37,"Yes","6281581865d07a71b28626f1","0.0","0.0","Participant 91",,,,,"A15912815"
"05/15/2022 2:08PM","05/15/2022 2:09PM","05/15/2022 09:00AM - 05/15/2022 9:59PM",54.94,"Yes","62816ba465d07a71b28627af","0.0","0.0","Participant 92",,,,,"A16648681"
"05/15/2022 2:10PM","05/15/2022 2:12PM","05/15/2022 09:00AM - 05/15/2022 9:59PM",149.536,"Yes","62816bfb65d07a71b28627b6","0.0","0.0","Participant 93",,,,,"A16759709"
"05/15/2022 2:42PM","05/15/2022 2:43PM","05/15/2022 09:00AM - 05/15/2022 9:59PM",66.469,"Yes","628173af65d07a71b28627c8","0.0","0.0","Participant 94",,,,,"A16950843"
"05/15/2022 3:23PM","05/15/2022 3:24PM","05/15/2022 09:00AM - 05/15/2022 9:59PM",54.645,"Yes","62817ceb65d07a71b28627dd","0.0","0.0","Participant 95",,,,,"A17021363"
"05/15/2022 9:34PM","05/15/2022 9:35PM","05/15/2022 09:00AM - 05/15/2022 9:59PM",65.733,"Yes","6281d36565d07a71b2862890","0.0","0.0","Participant 96",,,,,"A16221371"
"05/16/2022 11:35AM","05/16/2022 11:38AM","05/16/2022 09:00AM - 05/16/2022 9:59PM",173.265,"Yes","6282991065d07a71b286308a","0.0","0.0","Participant 99",,,,,"A16871410"
"05/16/2022 1:23PM","05/16/2022 1:24PM","05/16/2022 09:00AM - 05/16/2022 9:59PM",81.87,"Yes","6282b29165d07a71b2863269",,,"Participant 101",,,,,"A16970996"
"05/16/2022 1:49PM","05/16/2022 1:51PM","05/16/2022 09:00AM - 05/16/2022 9:59PM",111.922,"Yes","6282b88f65d07a71b28632ac","0.0","0.0","Participant 102",,,,,"A26535007"
"05/16/2022 4:28PM","05/16/2022 4:30PM","05/16/2022 09:00AM - 05/16/2022 9:59PM",104.707,"Yes","6282ddf665d07a71b2863353","0.0","0.0","Participant 103",,,,,"A16796921"
"05/16/2022 9:27PM","05/16/2022 9:30PM","05/16/2022 09:00AM - 05/16/2022 9:59PM",177.836,"Yes","628323e565d07a71b28634a5","0.0","0.0","Participant 104",,,,,"A16100511"
"05/17/2022 4:31PM","05/17/2022 4:32PM","05/17/2022 09:00AM - 05/17/2022 9:59PM",52.91,"Yes","6284301765d07a71b2863fb5","0.0","0.0","Participant 105",,,,,"A16688035"
"05/17/2022 7:13PM","05/17/2022 7:14PM","05/17/2022 09:00AM - 05/17/2022 9:59PM",56.856,"Yes","628455ff65d07a71b286404b","0.0","0.0","Participant 106",,,,,"A16794608"
"05/17/2022 9:49PM","05/17/2022 9:50PM","05/17/2022 09:00AM - 05/17/2022 9:59PM",85.441,"Yes","62847a8b65d07a71b28640cf","0.0","0.0","Participant 107",,,,,"A17183839"
"05/18/2022 09:49AM","05/18/2022 09:49AM","05/18/2022 09:00AM - 05/18/2022 9:59PM",39.674,"Yes","6285233665d07a71b28648ea",,,"Participant 110",,,,,"A15442572"
"05/18/2022 11:30AM","05/18/2022 11:31AM","05/18/2022 09:00AM - 05/18/2022 9:59PM",77.879,"Yes","62853b0b65d07a71b28649ca","0.0","0.0","Participant 111",,,,,"A16132943"
"05/18/2022 5:47PM","05/18/2022 5:48PM","05/18/2022 09:00AM - 05/18/2022 9:59PM",57.678,"Yes","628592e665d07a71b2864d33","0.0","0.0","Participant 112",,,,,"A16634387"
"05/18/2022 7:08PM","05/18/2022 7:10PM","05/18/2022 09:00AM - 05/18/2022 9:59PM",88.957,"Yes","6285a67c65d07a71b2864d86","0.0","0.0","Participant 113",,,,,"A16055379"
"05/19/2022 10:18AM","05/19/2022 10:19AM","05/19/2022 09:00AM - 05/19/2022 9:59PM",46.068,"Yes","62867bbe65d07a71b2865483","0.0","0.0","Participant 115",,,,,"A17183558"
"05/19/2022 1:45PM","05/19/2022 1:46PM","05/19/2022 09:00AM - 05/19/2022 9:59PM",20.751,"Yes","6286ac6065d07a71b2865724","0.0","0.0","Participant 117",,,,,"A16122991"
"05/19/2022 4:51PM","05/19/2022 4:52PM","05/19/2022 09:00AM - 05/19/2022 9:59PM",41.934,"Yes","6286d7ea65d07a71b28657e8","0.0","0.0","Participant 118",,,,,"A16371496"
"05/20/2022 11:30AM","05/20/2022 11:32AM","05/20/2022 09:00AM - 05/20/2022 9:59PM",92.284,"Yes","6287de1d65d07a71b28663ba","0.0","0.0","Participant 119",,,,,"UCSD A16105494"
"05/20/2022 2:13PM","05/20/2022 2:13PM","05/20/2022 09:00AM - 05/20/2022 9:59PM",49.555,"Yes","6288043365d07a71b28665e8","0.0","0.0","Participant 120",,,,,"A15003578"
"05/20/2022 8:19PM","05/20/2022 8:19PM","05/20/2022 09:00AM - 05/20/2022 9:59PM",27.184,"Yes","628859fd65d07a71b286676c","0.0","0.0","Participant 121",,,,,"A16666099"
"05/21/2022 2:03PM","05/21/2022 2:05PM","05/21/2022 09:00AM - 05/21/2022 9:59PM",79.028,"Yes","6289518565d07a71b2867050","0.0","0.0","Participant 122",,,,,"A17208103"
"05/21/2022 2:37PM","05/21/2022 2:38PM","05/21/2022 09:00AM - 05/21/2022 9:59PM",15.472,"Yes","62895b8665d07a71b2867077","0.0","0.0","Participant 123",,,,,"A16578856"
"05/21/2022 3:59PM","05/21/2022 4:00PM","05/21/2022 09:00AM - 05/21/2022 9:59PM",41.463,"Yes","62896ec665d07a71b286709f","0.0","0.0","Participant 124",,,,,"A16809208"
"05/23/2022 12:34PM","05/23/2022 12:34PM","05/23/2022 09:00AM - 05/23/2022 9:59PM",19.323,"Yes","628b3bb265d07a71b2867b1d","0.0","0.0","Participant 126",,,,,"A16688105"
"05/23/2022 10:05AM","05/23/2022 10:06AM","05/23/2022 09:00AM - 05/23/2022 9:59PM",64.923,"Yes","628bbe8265d07a71b286802f","0.0","0.0","Participant 127",,,,,"A16759667"
"05/23/2022 12:19PM","05/23/2022 12:20PM","05/23/2022 09:00AM - 05/23/2022 9:59PM",60.556,"Yes","628bde2765d07a71b28681ac","0.0","0.0","Participant 128",,,,,"A17171402"
"05/23/2022 12:58PM","05/23/2022 12:59PM","05/23/2022 09:00AM - 05/23/2022 9:59PM",108.477,"Yes","628be71065d07a71b2868250","0.0","0.0","Participant 129",,,,,"A16362302"
"05/23/2022 2:02PM","05/23/2022 2:04PM","05/23/2022 09:00AM - 05/23/2022 9:59PM",129.61,"Yes","628bf62165d07a71b28682c8","0.0","0.0","Participant 130",,,,,"A16347997"
"05/23/2022 2:05PM","05/23/2022 2:06PM","05/23/2022 09:00AM - 05/23/2022 9:59PM",106.316,"Yes","628bf6d165d07a71b28682d0","0.0","0.0","Participant 131",,,,,"A16308764"
"05/23/2022 3:23PM","05/23/2022 3:25PM","05/23/2022 09:00AM - 05/23/2022 9:59PM",137.261,"Yes","628c090865d07a71b2868340","0.0","0.0","Participant 132",,,,,"A15630949"
"06/27/2022 2:32PM","06/27/2022 2:32PM","06/27/2022 09:00AM - 06/27/2022 9:59PM",19.174,"Yes","62ba21c892331d0dde4bef7e","0.0","0.0","Participant 133",,,,,"A15502653"
"06/27/2022 5:08PM","06/27/2022 5:10PM","06/27/2022 09:00AM - 06/27/2022 9:59PM",120.164,"Yes","62ba464b92331d0dde4beff4",,,"Participant 134",,,,,"a17171389"
"06/28/2022 8:20PM","06/28/2022 8:22PM","06/28/2022 09:00AM - 06/28/2022 9:59PM",88.999,"Yes","62bbc4cc92331d0dde4bf37a","0.0","0.0","Participant 135",,,,,"A17187336"
"06/30/2022 09:01AM","06/30/2022 09:06AM","06/30/2022 09:00AM - 06/30/2022 9:59PM",266.386,"Yes","62bd53c392331d0dde4bf6e5",,,"Participant 136",,,,,"A17163509"
"07/01/2022 3:51PM","07/01/2022 3:53PM","07/01/2022 09:00AM - 07/01/2022 9:59PM",142.175,"Yes","62bf5e1992331d0dde4bfbe0","0.0","0.0","Participant 137",,,,,"A16445774"
"07/02/2022 2:07PM","07/02/2022 2:09PM","07/02/2022 09:00AM - 07/02/2022 9:59PM",106.67,"Yes","62c0b36f92331d0dde4c020a","0.0","0.0","Participant 138",,,,,"A17146946"
"07/02/2022 8:18PM","07/02/2022 8:21PM","07/02/2022 09:00AM - 07/02/2022 9:59PM",173.193,"Yes","62c10a1e92331d0dde4c031b","0.0","0.0","Participant 139",,,,,"A17224846"
"07/03/2022 09:00AM","07/03/2022 09:01AM","07/03/2022 09:00AM - 07/03/2022 9:59PM",63.962,"Yes","62c19b4092331d0dde4c03e0","0.0","0.0","Participant 140",,,,,"A17125420"
"07/03/2022 3:56PM","07/03/2022 3:57PM","07/03/2022 09:00AM - 07/03/2022 9:59PM",23.93,"Yes","62c21e7992331d0dde4c05d8",,,"Participant 141",,,,,"A16271124"
"07/04/2022 1:29PM","07/04/2022 1:31PM","07/04/2022 09:00AM - 07/04/2022 9:59PM",145.909,"Yes","62c34d4092331d0dde4c0946","0.0","0.0","Participant 142",,,,,"A15457432"
"07/05/2022 1:43PM","07/05/2022 1:44PM","07/05/2022 09:00AM - 07/05/2022 9:59PM",53.349,"Yes","62c4a23892331d0dde4c0ebb","0.0","0.0","Participant 144",,,,,"A16674047"
"07/06/2022 1:15PM","07/06/2022 1:16PM","07/06/2022 09:00AM - 07/06/2022 9:59PM",50.725,"Yes","62c5ed385ee2ef0de187bff7","0.0","0.0","Participant 145",,,,,"A16273165"
"07/07/2022 09:16AM","07/07/2022 09:17AM","07/07/2022 09:00AM - 07/07/2022 9:59PM",61.468,"Yes","62c6924d5ee2ef0de187c1c5","0.0","0.0","Participant 147",,,,,"A16423462"
"07/07/2022 4:45PM","07/07/2022 4:46PM","07/07/2022 09:00AM - 07/07/2022 9:59PM",15.396,"Yes","62c7700bc8795b0d98663d7e","0.0","0.0","Participant 148",,,,,"A16672368"
"07/08/2022 10:00AM","07/08/2022 10:01AM","07/08/2022 09:00AM - 07/08/2022 9:59PM",44.592,"Yes","62c86245c8795b0d98663ef7","0.0","0.0","Participant 149",,,,,"A15546882"
"07/09/2022 11:21AM","07/09/2022 11:24AM","07/09/2022 09:00AM - 07/09/2022 9:59PM",219.52,"Yes","62c9c695c8795b0d98664244","0.0","0.0","Participant 150",,,,,"A15966238"
"07/09/2022 4:18PM","07/09/2022 4:19PM","07/09/2022 09:00AM - 07/09/2022 9:59PM",80.16,"Yes","62ca0cab7a5f6c0d9e38d87a","0.0","0.0","Participant 151",,,,,"A16639603"
"07/10/2022 3:31PM","07/10/2022 3:34PM","07/10/2022 09:00AM - 07/10/2022 9:59PM",187.075,"Yes","62cb52dc7a5f6c0d9e38dabc",,,"Participant 152",,,,,"A16808016"
"07/10/2022 6:55PM","07/10/2022 6:59PM","07/10/2022 09:00AM - 07/10/2022 9:59PM",235.218,"Yes","62cb82c17a5f6c0d9e38db00","0.0","0.0","Participant 153",,,,,"A16266774"
